tbl,Year,quarter,mkt_fare,citymarketid_1,citymarketid_2,city1,city2,carairlineid,car,carpax,carpaxshare,caravgfare,fareinc_min,fareinc_minpaxsh,fareinc_max,fare_inc_maxpaxsh,fare_inc_x3paxsh,Geocoded_City1,Geocoded_City2,tbl5pk
Table 5,1997,4,74.35,30647,30693,"Cleveland, OH (Metropolitan Area)","Nashville, TN",19704,CO,8000,0.19,78.03,75,0.6,100,0.28,0.02,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Nashville, TN
(36.166687, -86.779932)",19974306473069319704CO
Table 5,2004,4,92.52,31453,32448,"Houston, TX","Jackson/Vicksburg, MS",19393,WN,16670,0.73,88.36,75,0.41,125,0.44,0,"Houston, TX
(29.760803, -95.369506)","Jackson/Vicksburg, MS
(30.325968, -81.65676)",20044314533244819393WN
Table 5,1999,4,224.94,30397,30198,"Atlanta, GA (Metropolitan Area)","Pittsburgh, PA",19790,DL,27010,0.53,234.65,75,0.05,475,0.14,0.39,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Pittsburgh, PA
(40.442169, -79.994945)",19994303973019819790DL
Table 5,2000,2,313.49,30977,34524,"Chicago, IL","Richmond, VA",20355,US,3290,0.11,262.31,75,0.07,575,0.07,0.41,"Chicago, IL
(41.775002, -87.696388)","Richmond, VA
(37.540759, -77.433932)",20002309773452420355US
Table 5,2000,2,221.83,34100,30198,"Philadelphia, PA","Pittsburgh, PA",20355,US,77980,0.98,221.75,100,0.11,325,0.09,0.15,"Philadelphia, PA
(39.951061, -75.16562)","Pittsburgh, PA
(40.442169, -79.994945)",20002341003019820355US
Table 5,2007,1,306.41,30977,33105,"Chicago, IL","Cincinnati, OH",19977,UA,13120,0.37,296.07,100,0.1,625,0.07,0.35,"Chicago, IL
(41.775002, -87.696388)","Cincinnati, OH
(39.104427, -84.513808)",20071309773310519977UA
Table 5,1999,3,239.17,30257,30977,"Albany, NY","Chicago, IL",19805,AA,10780,0.41,235.39,75,0.05,575,0.07,0.31,"Albany, NY
(42.651242, -73.755418)","Chicago, IL
(41.775002, -87.696388)",19993302573097719805AA
Table 5,2015,2,281.83,31267,31703,"Dayton, OH","New York City, NY (Metropolitan Area)",19977,UA,3060,0.11,330.66,225,0.13,425,0.08,0.02,"Dayton, OH
(39.760982, -84.192203)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20152312673170319977UA
Table 5,2007,1,90,31638,32211,"Fresno, CA","Las Vegas, NV",19977,UA,4870,0.18,94.8,75,0.5,200,0.05,0.01,"Fresno, CA
(36.731654, -119.785856)","Las Vegas, NV
(36.169202, -115.140597)",20071316383221119977UA
Table 5,1998,3,74.6,31136,33195,"Jacksonville, FL","Tampa, FL (Metropolitan Area)",19393,WN,8010,0.37,65.41,75,0.99,75,0.99,0,"Jacksonville, FL
(30.325968, -81.65676)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)",19983311363319519393WN
Table 5,1996,3,84.43,31295,31123,"Detroit, MI","St. Louis, MO",19386,NW,33000,0.4,87.79,75,0.43,125,0.07,0.02,"Detroit, MI
(42.332916, -83.047853)","St. Louis, MO
(38.630276, -90.200309)",19963312953112319386NW
Table 5,2015,2,310.08,30647,31650,"Cleveland, OH (Metropolitan Area)","Minneapolis/St. Paul, MN",19790,DL,8400,0.29,344.67,250,0.11,600,0.05,0.01,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)",20152306473165019790DL
Table 5,1996,1,90.87,31453,32600,"Houston, TX","Little Rock, AR",19704,CO,6450,0.24,101.46,75,0.26,150,0.08,0,"Houston, TX
(29.760803, -95.369506)","Little Rock, AR
(34.748745, -92.275105)",19961314533260019704CO
Table 5,1997,2,75.39,33570,32457,"San Diego, CA","San Francisco, CA (Metropolitan Area)",19977,UA,110800,0.27,81.47,75,0.43,100,0.49,0.0042,"San Diego, CA
(32.71576, -117.163817)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",19972335703245719977UA
Table 5,2008,1,244.97,30977,34576,"Chicago, IL","Rochester, NY",19977,UA,7910,0.56,251.83,125,0.05,300,0.14,0.12,"Chicago, IL
(41.775002, -87.696388)","Rochester, NY
(43.155708, -77.612547)",20081309773457619977UA
Table 5,2006,2,243.21,30194,30693,"Dallas/Fort Worth, TX","Nashville, TN",19805,AA,44940,0.9,242.86,150,0.06,350,0.15,0.02,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Nashville, TN
(36.166687, -86.779932)",20062301943069319805AA
Table 5,2000,3,245.31,33105,30852,"Cincinnati, OH","Washington, DC (Metropolitan Area)",19790,DL,41950,0.82,261.52,100,0.06,475,0.07,0.42,"Cincinnati, OH
(39.104427, -84.513808)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20003331053085219790DL
Table 5,2012,4,269.21,31650,30693,"Minneapolis/St. Paul, MN","Nashville, TN",19393,WN,5770,0.22,218.6,125,0.13,300,0.08,0.07,"Minneapolis/St. Paul, MN
(44.977479, -93.264346)","Nashville, TN
(36.166687, -86.779932)",20124316503069319393WN
Table 5,2005,4,97.46,31453,33214,"Houston, TX","San Antonio, TX",19393,WN,41720,0.67,96.93,75,0.21,125,0.64,0,"Houston, TX
(29.760803, -95.369506)","San Antonio, TX
(29.425173, -98.494599)",20054314533321419393WN
Table 5,2011,4,266.65,30977,34524,"Chicago, IL","Richmond, VA",19805,AA,7320,0.24,253.07,125,0.1,475,0.12,0.23,"Chicago, IL
(41.775002, -87.696388)","Richmond, VA
(37.540759, -77.433932)",20114309773452419805AA
Table 5,2001,1,236.29,31295,30852,"Detroit, MI","Washington, DC (Metropolitan Area)",19393,WN,11470,0.1,125.08,100,0.07,175,0.15,0,"Detroit, MI
(42.332916, -83.047853)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20011312953085219393WN
Table 5,2004,1,318.36,30647,34100,"Cleveland, OH (Metropolitan Area)","Philadelphia, PA",20355,US,10000,0.49,308.63,100,0.08,550,0.12,0.54,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Philadelphia, PA
(39.951061, -75.16562)",20041306473410020355US
Table 5,2005,3,92.96,31123,34653,"St. Louis, MO","Tulsa, OK",19393,WN,12410,0.8,91.42,75,0.37,125,0.39,0,"St. Louis, MO
(38.630276, -90.200309)","Tulsa, OK
(61.096484, -160.967455)",20053311233465319393WN
Table 5,1998,2,224.03,30792,34100,"Buffalo, NY","Philadelphia, PA",20355,US,17620,0.96,224.67,75,0.07,325,0.33,0.58,"Buffalo, NY
(39.945422, -78.64671)","Philadelphia, PA
(39.951061, -75.16562)",19982307923410020355US
Table 5,2010,2,285.95,30868,30852,"Columbia, SC","Washington, DC (Metropolitan Area)",20355,US,10450,0.59,317.2,125,0.17,425,0.05,0.46,"Columbia, SC
(39.962649, -82.996216)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20102308683085220355US
Table 5,1996,2,77.19,32575,33192,"Los Angeles, CA (Metropolitan Area)","Sacramento, CA",19991,HP,81090,0.24,94.29,75,0.38,150,0.15,0.0037,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Sacramento, CA
(38.582087, -121.50012)",19962325753319219991HP
Table 5,2008,2,392.22,33105,31650,"Cincinnati, OH","Minneapolis/St. Paul, MN",19790,DL,7390,0.35,432.61,200,0.07,675,0.05,0.27,"Cincinnati, OH
(39.104427, -84.513808)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)",20082331053165019790DL
Table 5,2012,2,91.38,30158,31135,"Atlantic City, NJ","Myrtle Beach, SC",20416,NK,26830,1,91.38,75,0.38,175,0.05,0,"Atlantic City, NJ
(33.748547, -84.391502)","Myrtle Beach, SC
(33.68785, -78.883852)",20122301583113520416NK
Table 5,2001,2,244.32,30194,33044,"Dallas/Fort Worth, TX","Louisville, KY",19790,DL,4380,0.2,287.43,125,0.14,550,0.06,0.34,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Louisville, KY
(38.256078, -85.751569)",20012301943304419790DL
Table 5,2000,3,234.63,30977,34100,"Chicago, IL","Philadelphia, PA",20355,US,55440,0.26,251.19,75,0.06,600,0.12,0.35,"Chicago, IL
(41.775002, -87.696388)","Philadelphia, PA
(39.951061, -75.16562)",20003309773410020355US
Table 5,1996,1,108.87,30397,31714,"Atlanta, GA (Metropolitan Area)","Fort Myers, FL",20243,J7,13520,0.46,78.26,75,0.46,100,0.53,0,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Fort Myers, FL
(40.253979, -103.801495)",19961303973171420243J7
Table 5,2007,3,237.41,31066,31650,"Columbus, OH","Minneapolis/St. Paul, MN",19805,AA,4960,0.16,170.43,125,0.18,225,0.06,0.03,"Columbus, OH
(39.962649, -82.996216)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)",20073310663165019805AA
Table 5,2002,2,235.12,30397,30693,"Atlanta, GA (Metropolitan Area)","Nashville, TN",19790,DL,18100,0.98,236.05,100,0.12,425,0.07,0.28,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Nashville, TN
(36.166687, -86.779932)",20022303973069319790DL
Table 5,2001,3,244.35,31057,30852,"Charlotte, NC","Washington, DC (Metropolitan Area)",20355,US,49060,0.95,244.82,75,0.18,475,0.05,0.5,"Charlotte, NC
(35.222936, -80.840161)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20013310573085220355US
Table 5,2001,1,220.71,30647,30529,"Cleveland, OH (Metropolitan Area)","Hartford, CT",20355,US,2550,0.15,174.77,100,0.22,175,0.19,0.14,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Hartford, CT
(41.765775, -72.673356)",20011306473052920355US
Table 5,2011,4,269.77,30647,31650,"Cleveland, OH (Metropolitan Area)","Minneapolis/St. Paul, MN",20437,FL,3120,0.12,150.05,125,0.07,200,0.09,0.0032,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)",20114306473165020437FL
Table 5,1996,3,76.99,30599,33195,"Birmingham, AL","Tampa, FL (Metropolitan Area)",19790,DL,4950,0.22,98.57,75,0.46,100,0.35,0.07,"Birmingham, AL
(33.522859, -86.807705)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)",19963305993319519790DL
Table 5,2011,1,119.74,30325,30436,"Denver, CO","Tucson, AZ",19977,UA,10860,0.2,159.84,75,0.15,250,0.06,0.15,"Denver, CO
(39.738453, -104.984853)","Tucson, AZ
(35.167852, -103.726151)",20111303253043619977UA
Table 5,1996,1,86.74,33192,34614,"Sacramento, CA","Salt Lake City, UT",19790,DL,14080,0.81,83.79,75,0.53,125,0.22,0.01,"Sacramento, CA
(38.582087, -121.50012)","Salt Lake City, UT
(40.758478, -111.888142)",19961331923461419790DL
Table 5,2004,2,79.18,34570,32457,"Reno, NV","San Francisco, CA (Metropolitan Area)",19393,WN,49740,0.93,75.81,75,0.41,100,0.58,0,"Reno, NV
(30.177159, -95.162771)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",20042345703245719393WN
Table 5,2004,3,234.46,31703,34524,"New York City, NY (Metropolitan Area)","Richmond, VA",19704,CO,13130,0.29,276.16,100,0.07,450,0.08,0.55,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Richmond, VA
(37.540759, -77.433932)",20043317033452419704CO
Table 5,2014,1,109.5,31638,32211,"Fresno, CA","Las Vegas, NV",20368,G4,7520,0.26,82.26,75,0.63,175,0.06,0,"Fresno, CA
(36.731654, -119.785856)","Las Vegas, NV
(36.169202, -115.140597)",20141316383221120368G4
Table 5,1998,1,272.09,30257,30977,"Albany, NY","Chicago, IL",19977,UA,6000,0.38,290.78,75,0.06,575,0.15,0.45,"Albany, NY
(42.651242, -73.755418)","Chicago, IL
(41.775002, -87.696388)",19981302573097719977UA
Table 5,2005,1,99.22,31703,34576,"New York City, NY (Metropolitan Area)","Rochester, NY",20409,B6,61230,0.66,80.38,75,0.51,125,0.21,0,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Rochester, NY
(43.155708, -77.612547)",20051317033457620409B6
Table 5,2004,1,246.88,30721,30647,"Boston, MA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",19704,CO,29860,0.62,281.76,125,0.35,600,0.1,0.33,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)",20041307213064719704CO
Table 5,1996,4,80.35,30194,30615,"Dallas/Fort Worth, TX","El Paso, TX",19393,WN,79370,0.71,74.27,75,0.64,125,0.34,0,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","El Paso, TX
(31.76006, -106.492257)",19964301943061519393WN
Table 5,2015,4,96.31,32945,34761,"Lexington, KY","Sanford, FL",20368,G4,8690,0.5,97,75,0.34,175,0.05,0.01,"Lexington, KY
(34.052238, -118.243344)","Sanford, FL
(37.78008, -122.420168)",20154329453476120368G4
Table 5,2004,3,80.29,33316,31123,"Omaha, NE","St. Louis, MO",19393,WN,23380,0.88,74.57,75,0.55,100,0.43,0,"Omaha, NE
(46.07035, -93.666319)","St. Louis, MO
(38.630276, -90.200309)",20043333163112319393WN
Table 5,1999,1,231.37,31986,31703,"Grand Rapids, MI","New York City, NY (Metropolitan Area)",19386,NW,7030,0.46,214.7,125,0.23,450,0.05,0.11,"Grand Rapids, MI
(47.925705, -97.036068)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",19991319863170319386NW
Table 5,1999,1,254.03,31057,31123,"Charlotte, NC","St. Louis, MO",20355,US,6300,0.41,275.78,75,0.1,500,0.06,0.53,"Charlotte, NC
(35.222936, -80.840161)","St. Louis, MO
(38.630276, -90.200309)",19991310573112320355US
Table 5,2000,4,249.05,30977,31995,"Chicago, IL","Greensboro/High Point, NC",20355,US,3370,0.15,160.52,75,0.08,150,0.05,0.15,"Chicago, IL
(41.775002, -87.696388)","Greensboro/High Point, NC
(36.072701, -79.793899)",20004309773199520355US
Table 5,1996,3,72.47,32211,34570,"Las Vegas, NV","Reno, NV",19994,QQ,27420,0.47,72.95,75,0.49,125,0.07,0.0026,"Las Vegas, NV
(36.169202, -115.140597)","Reno, NV
(30.177159, -95.162771)",19963322113457019994QQ
Table 5,1996,1,83.99,31066,31123,"Columbus, OH","St. Louis, MO",20211,TW,12900,0.71,85.69,75,0.63,125,0.07,0.02,"Columbus, OH
(39.962649, -82.996216)","St. Louis, MO
(38.630276, -90.200309)",19961310663112320211TW
Table 5,1999,2,73.31,33198,30693,"Kansas City, MO","Nashville, TN",19393,WN,30140,0.87,69.15,75,0.62,100,0.37,0.0007,"Kansas City, MO
(39.099792, -94.578559)","Nashville, TN
(36.166687, -86.779932)",19992331983069319393WN
Table 5,2004,4,78.31,33316,31123,"Omaha, NE","St. Louis, MO",19393,WN,25410,0.9,75.04,75,0.54,100,0.45,0,"Omaha, NE
(46.07035, -93.666319)","St. Louis, MO
(38.630276, -90.200309)",20044333163112319393WN
Table 5,2005,3,80.52,33195,34027,"Tampa, FL (Metropolitan Area)","West Palm Beach/Palm Beach, FL",19393,WN,18560,1,80.52,75,0.3,100,0.69,0,"Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)","West Palm Beach/Palm Beach, FL
(33.90976, -98.500854)",20053331953402719393WN
Table 5,2001,4,79.35,31123,34653,"St. Louis, MO","Tulsa, OK",19393,WN,9150,0.54,76.81,75,0.53,100,0.45,0,"St. Louis, MO
(38.630276, -90.200309)","Tulsa, OK
(61.096484, -160.967455)",20014311233465319393WN
Table 5,1998,2,264.42,33342,31123,"Milwaukee, WI","St. Louis, MO",20211,TW,12200,0.87,266.99,75,0.07,425,0.22,0.6,"Milwaukee, WI
(43.041072, -87.909421)","St. Louis, MO
(38.630276, -90.200309)",19982333423112320211TW
Table 5,2015,3,115.4,31295,31135,"Detroit, MI","Myrtle Beach, SC",19790,DL,4070,0.13,174.49,125,0.17,250,0.06,0.02,"Detroit, MI
(42.332916, -83.047853)","Myrtle Beach, SC
(33.68785, -78.883852)",20153312953113519790DL
Table 5,2004,2,89.22,32211,33570,"Las Vegas, NV","San Diego, CA",19393,WN,129560,0.81,88.57,75,0.34,125,0.43,0,"Las Vegas, NV
(36.169202, -115.140597)","San Diego, CA
(32.71576, -117.163817)",20042322113357019393WN
Table 5,2000,1,251.02,30977,34576,"Chicago, IL","Rochester, NY",19977,UA,10380,0.55,254.72,75,0.08,550,0.07,0.45,"Chicago, IL
(41.775002, -87.696388)","Rochester, NY
(43.155708, -77.612547)",20001309773457619977UA
Table 5,2007,1,93.03,30194,32896,"Dallas/Fort Worth, TX","Lubbock, TX",19393,WN,55990,0.84,90.66,75,0.34,125,0.47,0.0014,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Lubbock, TX
(41.181125, -96.030508)",20071301943289619393WN
Table 5,1997,2,237.81,30194,30693,"Dallas/Fort Worth, TX","Nashville, TN",19790,DL,7510,0.16,220.23,75,0.11,475,0.09,0.33,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Nashville, TN
(36.166687, -86.779932)",19972301943069319790DL
Table 5,2001,1,215.16,34492,31123,"Raleigh/Durham, NC","St. Louis, MO",20211,TW,10420,0.55,254.47,100,0.06,150,0.07,0.3,"Raleigh/Durham, NC
(42.673348, -72.179683)","St. Louis, MO
(38.630276, -90.200309)",20011344923112320211TW
Table 5,2014,1,260.33,31703,33667,"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",20355,US,6220,0.27,228.81,125,0.09,275,0.09,0.11,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Norfolk, VA (Metropolitan Area)
(36.846164, -76.285913)",20141317033366720355US
Table 5,1996,2,230.61,33105,31295,"Cincinnati, OH","Detroit, MI",19386,NW,7920,0.65,226.74,175,0.05,275,0.52,0,"Cincinnati, OH
(39.104427, -84.513808)","Detroit, MI
(42.332916, -83.047853)",19962331053129519386NW
Table 5,1996,4,83.41,34614,31884,"Salt Lake City, UT","Spokane, WA",19790,DL,8400,0.45,101.14,75,0.18,125,0.41,0.02,"Salt Lake City, UT
(40.758478, -111.888142)","Spokane, WA
(47.658999, -117.425022)",19964346143188419790DL
Table 5,2012,2,261.7,30721,31066,"Boston, MA (Metropolitan Area)","Columbus, OH",20355,US,12300,0.4,262.71,175,0.05,350,0.05,0.02,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Columbus, OH
(39.962649, -82.996216)",20122307213106620355US
Table 5,1996,2,70.87,30559,31884,"Seattle, WA","Spokane, WA",19393,WN,13200,0.18,53,75,1,75,1,0,"Seattle, WA
(47.603229, -122.33028)","Spokane, WA
(47.658999, -117.425022)",19962305593188419393WN
Table 5,2007,2,228.14,35412,31703,"Knoxville, TN","New York City, NY (Metropolitan Area)",20355,US,5160,0.28,235.99,150,0.12,350,0.05,0.05,"Knoxville, TN
(35.962631, -83.916677)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20072354123170320355US
Table 5,2008,1,278.47,32337,31650,"Indianapolis, IN","Minneapolis/St. Paul, MN",19386,NW,19150,0.68,322.36,150,0.16,600,0.07,0.22,"Indianapolis, IN
(39.76845, -86.156212)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)",20081323373165019386NW
Table 5,2014,3,116.65,30977,35356,"Chicago, IL","Trenton, NJ",20436,F9,10430,0.49,118.5,75,0.25,200,0.06,0.05,"Chicago, IL
(41.775002, -87.696388)","Trenton, NJ
(40.220572, -74.759709)",20143309773535620436F9
Table 5,1998,1,79.4,32211,30466,"Las Vegas, NV","Phoenix, AZ",19991,HP,30320,0.28,81.3,75,0.77,150,0.05,0.01,"Las Vegas, NV
(36.169202, -115.140597)","Phoenix, AZ
(30.406931, -87.217578)",19981322113046619991HP
Table 5,1997,2,256.76,31057,30977,"Charlotte, NC","Chicago, IL",19977,UA,16860,0.31,268.45,125,0.14,425,0.23,0.31,"Charlotte, NC
(35.222936, -80.840161)","Chicago, IL
(41.775002, -87.696388)",19972310573097719977UA
Table 5,1996,3,75.08,34057,32457,"Portland, OR","San Francisco, CA (Metropolitan Area)",19930,AS,174690,0.5,77.18,75,0.62,125,0.21,0.0045,"Portland, OR
(45.516018, -122.681425)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",19963340573245719930AS
Table 5,2001,2,291.98,33244,31650,"Memphis, TN","Minneapolis/St. Paul, MN",19386,NW,14970,0.84,310.98,125,0.14,550,0.07,0.3,"Memphis, TN
(35.143378, -90.052136)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)",20012332443165019386NW
Table 5,2012,2,109.94,32211,30466,"Las Vegas, NV","Phoenix, AZ",19393,WN,106710,0.68,114.01,75,0.35,225,0.09,0.0023,"Las Vegas, NV
(36.169202, -115.140597)","Phoenix, AZ
(30.406931, -87.217578)",20122322113046619393WN
